LOX HEIGHT RP1HEIGHT DIAMETER NumEngins
13946.1 646.401 17.9 5836.16 -79.6945
14010.6 645.184 18 5836.16 -79.6945
14074.9 643.969 18.1 5836.16 -79.6945
14139.1 642.757 18.2 5836.16 -79.6945
14203.2 641.548 18.3 5836.16 -79.6945
14267.2 640.342 18.4 5836.16 -79.6945
14331 639.139 18.5 5836.16 -79.6945
14394.8 637.938 18.6 5836.16 -79.6945
14458.4 636.74 18.7 5836.16 -79.6945
14521.9 635.544 18.8 5836.16 -79.6945
14585.3 634.351 18.9 5836.16 -79.6945
14648.5 633.161 19 5836.16 -79.6945
14711.6 631.973 19.1 5836.16 -79.6945
14774.7 630.787 19.2 5836.16 -79.6945
14837.6 629.604 19.3 5836.16 -79.6945
14900.3 628.424 19.4 5836.16 -79.6945
14963 627.246 19.5 5836.16 -79.6945
15025.6 626.07 19.6 5836.16 -79.6945
15088 624.896 19.7 5836.16 -79.6945
15150.3 623.725 19.8 5836.16 -79.6945
15212.5 622.556 19.9 5836.16 -79.6945
15274.6 621.389 20 5836.16 -79.6945
15336.5 620.225 20.1 5836.16 -79.6945
15398.4 619.062 20.2 5836.16 -79.6945
15460.1 617.902 20.3 5836.16 -79.6945
15521.7 616.744 20.4 5836.16 -79.6945
15583.2 615.588 20.5 5836.16 -79.6945
15644.6 614.434 20.6 5836.16 -79.6945
15705.9 613.282 20.7 5836.16 -79.6945
15767.1 612.132 20.8 5836.16 -79.6945
15828.1 610.984 20.9 5836.16 -79.6945
15889 609.838 21 5836.16 -79.6945
15949.8 608.694 21.1 5836.16 -79.6945
16010.5 607.552 21.2 5836.16 -79.6945
16071.1 606.411 21.3 5836.16 -79.6945
16131.6 605.273 21.4 5836.16 -79.6945
16191.9 604.136 21.5 5836.16 -79.6945
16252.2 603.002 21.6 5836.16 -79.6945
16312.3 601.869 21.7 5836.16 -79.6945
16372.3 600.737 21.8 5836.16 -79.6945
16432.2 599.608 21.9 5836.16 -79.6945
16492 598.48 22 5836.16 -79.6945
16551.7 597.354 22.1 5836.16 -79.6945
16611.3 596.229 22.2 5836.16 -79.6945
16670.7 595.107 22.3 5836.16 -79.6945
16730.1 593.985 22.4 5836.16 -79.6945
16789.3 592.866 22.5 5836.16 -79.6945
16848.4 591.748 22.6 5836.16 -79.6945
16907.4 590.632 22.7001 5836.16 -79.6945
16966.3 589.517 22.8001 5836.16 -79.6945
17025.1 588.403 22.9001 5836.16 -79.6945
17083.8 587.292 23.0001 5836.16 -79.6945
17142.3 586.181 23.1001 5836.16 -79.6945
17200.8 585.073 23.2001 5836.16 -79.6945
17259.1 583.965 23.3001 5836.16 -79.6945
17317.4 582.859 23.4001 5836.16 -79.6945
17375.5 581.755 23.5001 5836.16 -79.6945
17433.5 580.652 23.6001 5836.16 -79.6945
17491.4 579.55 23.7001 5836.16 -79.6945
17549.2 578.45 23.8001 5836.16 -79.6945
17606.9 577.351 23.9001 5836.16 -79.6945
17664.4 576.253 24.0001 5836.16 -79.6945
17721.9 575.157 24.1001 5836.16 -79.6945
17779.3 574.062 24.2001 5836.16 -79.6945
17836.5 572.968 24.3001 5836.16 -79.6945
17893.6 571.875 24.4001 5836.16 -79.6945
17950.7 570.784 24.5001 5836.16 -79.6945
18007.6 569.694 24.6001 5836.16 -79.6945
18064.4 568.605 24.7001 5836.16 -79.6945
18121.1 567.518 24.8001 5836.16 -79.6945
18177.7 566.431 24.9001 5836.16 -79.6945
18234.1 565.346 25.0001 5836.16 -79.6945
18290.5 564.262 25.1001 5836.16 -79.6945
18346.8 563.179 25.2001 5836.16 -79.6945
18402.9 562.098 25.3001 5836.16 -79.6945
18459 561.017 25.4001 5836.16 -79.6945
18514.9 559.938 25.5001 5836.16 -79.6945
18570.7 558.859 25.6001 5836.16 -79.6945
18626.5 557.782 25.7001 5836.16 -79.6945
18682.1 556.706 25.8001 5836.16 -79.6945
18737.6 555.63 25.9001 5836.16 -79.6945
18793 554.556 26.0001 5836.16 -79.6945
18848.3 553.483 26.1001 5836.16 -79.6945
18903.5 552.411 26.2001 5836.16 -79.6945
18958.6 551.34 26.3001 5836.16 -79.6945
19013.5 550.27 26.4001 5836.16 -79.6945
19068.4 549.201 26.5001 5836.16 -79.6945
19123.2 548.133 26.6001 5836.16 -79.6945
19177.8 547.065 26.7001 5836.16 -79.6945
19232.4 545.999 26.8001 5836.16 -79.6945
19286.8 544.934 26.9001 5836.16 -79.6945
19341.1 543.87 27.0001 5836.16 -79.6945
19395.4 542.806 27.1001 5836.16 -79.6945
19449.5 541.744 27.2001 5836.16 -79.6945
19503.5 540.682 27.3001 5836.16 -79.6945
19557.4 539.621 27.4001 5836.16 -79.6945
19611.2 538.561 27.5001 5836.16 -79.6945
19664.9 537.502 27.6001 5836.16 -79.6945
19718.5 536.444 27.7001 5836.16 -79.6945
19772 535.387 27.8001 5836.16 -79.6945
19825.4 534.33 27.9001 5836.16 -79.6945
19878.6 533.275 28.0001 5836.16 -79.6945
19931.8 532.22 28.1001 5836.16 -79.6945
19984.9 531.166 28.2001 5836.16 -79.6945
20037.8 530.112 28.3001 5836.16 -79.6945
20090.7 529.06 28.4001 5836.16 -79.6945
20143.4 528.008 28.5001 5836.16 -79.6945
20196.1 526.957 28.6001 5836.16 -79.6945
20248.6 525.907 28.7001 5836.16 -79.6945
20301.1 524.858 28.8001 5836.16 -79.6945
20353.4 523.809 28.9001 5836.16 -79.6945
20405.6 522.761 29.0001 5836.16 -79.6945
20457.7 521.714 29.1001 5836.16 -79.6945
20509.7 520.667 29.2001 5836.16 -79.6945
20561.6 519.622 29.3001 5836.16 -79.6945
20613.5 518.576 29.4001 5836.16 -79.6945
20665.2 517.532 29.5001 5836.16 -79.6945
20716.8 516.488 29.6001 5836.16 -79.6945
20768.2 515.445 29.7001 5836.16 -79.6945
20819.6 514.403 29.8001 5836.16 -79.6945
20870.9 513.361 29.9001 5836.16 -79.6945
20922.1 512.32 30.0001 5836.16 -79.6945
20973.2 511.279 30.1001 5836.16 -79.6945
21024.1 510.24 30.2001 5836.16 -79.6945
21075 509.2 30.3001 5836.16 -79.6945
21125.8 508.162 30.4001 5836.16 -79.6945
21176.4 507.124 30.5001 5836.16 -79.6945
21227 506.087 30.6001 5836.16 -79.6945
21277.4 505.05 30.7001 5836.16 -79.6945
21327.8 504.014 30.8001 5836.16 -79.6945
21378 502.978 30.9001 5836.16 -79.6945
21428.2 501.943 31.0001 5836.16 -79.6945
21478.2 500.909 31.1001 5836.16 -79.6945
21528.2 499.875 31.2001 5836.16 -79.6945
21578 498.842 31.3001 5836.16 -79.6945
21627.7 497.809 31.4001 5836.16 -79.6945
21677.3 496.777 31.5001 5836.16 -79.6945
21726.9 495.745 31.6001 5836.16 -79.6945
21776.3 494.714 31.7001 5836.16 -79.6945
21825.6 493.684 31.8001 5836.16 -79.6945
21874.8 492.654 31.9001 5836.16 -79.6945
21923.9 491.624 32.0001 5836.16 -79.6945
21972.9 490.595 32.1001 5836.16 -79.6945
22021.8 489.567 32.2001 5836.16 -79.6945
22070.7 488.539 32.3001 5836.16 -79.6945
22119.4 487.511 32.4001 5836.16 -79.6945
22167.9 486.484 32.5001 5836.16 -79.6945
22216.4 485.458 32.6001 5836.16 -79.6945
22264.8 484.432 32.7001 5836.16 -79.6945
22313.1 483.406 32.8001 5836.16 -79.6945
22361.3 482.381 32.9001 5836.16 -79.6945
22409.4 481.356 33.0001 5836.16 -79.6945
22457.4 480.332 33.1001 5836.16 -79.6945
22505.3 479.309 33.2001 5836.16 -79.6945
22553 478.285 33.3001 5836.16 -79.6945
22600.7 477.262 33.4001 5836.16 -79.6945
22648.3 476.24 33.5001 5836.16 -79.6945
22695.8 475.218 33.6001 5836.16 -79.6945
22743.1 474.197 33.7001 5836.16 -79.6945
22790.4 473.176 33.8001 5836.16 -79.6945
22837.6 472.155 33.9001 5836.16 -79.6945
22884.6 471.135 34.0001 5836.16 -79.6945
22931.6 470.115 34.1001 5836.16 -79.6945
22978.4 469.095 34.2001 5836.16 -79.6945
23025.2 468.076 34.3 5836.16 -79.6945
23071.9 467.058 34.4 5836.16 -79.6945
23118.4 466.039 34.5 5836.16 -79.6945
23164.9 465.022 34.6 5836.16 -79.6945
23211.2 464.004 34.7 5836.16 -79.6945
23257.5 462.987 34.8 5836.16 -79.6945
23303.6 461.97 34.9 5836.16 -79.6945
23349.6 460.954 35 5836.16 -79.6945
23395.6 459.938 35.1 5836.16 -79.6945
23441.4 458.922 35.2 5836.16 -79.6945
23487.2 457.907 35.3 5836.16 -79.6945
23532.8 456.892 35.4 5836.16 -79.6945
23578.3 455.878 35.5 5836.16 -79.6945
23623.8 454.863 35.6 5836.16 -79.6945
23669.1 453.849 35.7 5836.16 -79.6945
23714.3 452.836 35.8 5836.16 -79.6945
23759.5 451.823 35.9 5836.16 -79.6945
23804.5 450.81 36 5836.16 -79.6945
23849.4 449.797 36.1 5836.16 -79.6945
23894.3 448.785 36.2 5836.16 -79.6945
23939 447.773 36.3 5836.16 -79.6945
23983.6 446.762 36.4 5836.16 -79.6945
24028.1 445.751 36.5 5836.16 -79.6945
24072.6 444.74 36.6 5836.16 -79.6945
24116.9 443.729 36.7 5836.16 -79.6945
24161.1 442.719 36.8 5836.16 -79.6945
24205.2 441.709 36.9 5836.16 -79.6945
24249.2 440.699 37 5836.16 -79.6945
24293.2 439.69 37.1 5836.16 -79.6945
24337 438.68 37.2 5836.16 -79.6945
24380.7 437.672 37.3 5836.16 -79.6945
24424.3 436.663 37.4 5836.16 -79.6945
24467.8 435.655 37.5 5836.16 -79.6945
24511.2 434.647 37.6 5836.16 -79.6945
24554.6 433.639 37.7 5836.16 -79.6945
24597.8 432.632 37.8 5836.16 -79.6945
24640.9 431.624 37.9 5836.16 -79.6945
24683.9 430.618 38 5836.16 -79.6945
24726.8 429.611 38.1 5836.16 -79.6945
24769.6 428.605 38.2 5836.16 -79.6945
24812.3 427.599 38.3 5836.16 -79.6945
24854.9 426.593 38.4 5836.16 -79.6945
24897.4 425.587 38.5 5836.16 -79.6945
24939.8 424.582 38.6 5836.16 -79.6945
24982.2 423.577 38.7 5836.16 -79.6945
25024.4 422.572 38.8 5836.16 -79.6945
25066.5 421.567 38.9 5836.16 -79.6945
25108.5 420.563 39 5836.16 -79.6945
25150.4 419.559 39.1 5836.16 -79.6945
25192.2 418.555 39.2 5836.16 -79.6945
25233.9 417.551 39.3 5836.16 -79.6945
25275.5 416.548 39.4 5836.16 -79.6945
25317 415.545 39.5 5836.16 -79.6945
25358.4 414.542 39.6 5836.16 -79.6945
25399.7 413.539 39.7 5836.16 -79.6945
25440.9 412.536 39.8 5836.16 -79.6945
25482 411.534 39.9 5836.16 -79.6945
25523 410.532 40 5836.16 -79.6945
25563.9 409.53 40.1 5836.16 -79.6945
25604.7 408.529 40.2 5836.16 -79.6945
25645.4 407.527 40.3 5836.16 -79.6945
25686 406.526 40.4 5836.16 -79.6945
25726.5 405.525 40.5 5836.16 -79.6945
25766.9 404.524 40.6 5836.16 -79.6945
25807.2 403.523 40.7 5836.16 -79.6945
25847.4 402.523 40.7999 5836.16 -79.6945
25887.5 401.523 40.8999 5836.16 -79.6945
25927.5 400.523 40.9999 5836.16 -79.6945
25967.4 399.523 41.0999 5836.16 -79.6945
26007.2 398.523 41.1999 5836.16 -79.6945
26046.9 397.524 41.2999 5836.16 -79.6945
26086.5 396.525 41.3999 5836.16 -79.6945
26126 395.525 41.4999 5836.16 -79.6945
26165.4 394.527 41.5999 5836.16 -79.6945
26204.7 393.528 41.6999 5836.16 -79.6945
26243.9 392.529 41.7999 5836.16 -79.6945
26283 391.531 41.8999 5836.16 -79.6945
26322 390.533 41.9999 5836.16 -79.6945
26360.9 389.535 42.0999 5836.16 -79.6945
26399.8 388.537 42.1999 5836.16 -79.6945
26438.5 387.539 42.2999 5836.16 -79.6945
26477.1 386.542 42.3999 5836.16 -79.6945
26515.6 385.544 42.4999 5836.16 -79.6945
26554 384.547 42.5999 5836.16 -79.6945
26592.3 383.55 42.6999 5836.16 -79.6945
26630.5 382.554 42.7999 5836.16 -79.6945
26668.6 381.557 42.8999 5836.16 -79.6945
26706.6 380.56 42.9999 5836.16 -79.6945
26744.5 379.564 43.0999 5836.16 -79.6945
26782.3 378.568 43.1999 5836.16 -79.6945
26820 377.572 43.2999 5836.16 -79.6945
26857.6 376.576 43.3999 5836.16 -79.6945
26895.1 375.58 43.4999 5836.16 -79.6945
26932.5 374.585 43.5999 5836.16 -79.6945
26969.8 373.589 43.6999 5836.16 -79.6945
27007.1 372.594 43.7999 5836.16 -79.6945
27044.2 371.599 43.8999 5836.16 -79.6945
27081.2 370.604 43.9999 5836.16 -79.6945
27118.1 369.609 44.0999 5836.16 -79.6945
27154.9 368.614 44.1999 5836.16 -79.6945
27191.6 367.62 44.2999 5836.16 -79.6945
27228.2 366.625 44.3999 5836.16 -79.6945
27264.7 365.631 44.4999 5836.16 -79.6945
27301.2 364.637 44.5999 5836.16 -79.6945
27337.5 363.643 44.6999 5836.16 -79.6945
27373.7 362.649 44.7999 5836.16 -79.6945
27409.8 361.655 44.8999 5836.16 -79.6945
27445.8 360.661 44.9999 5836.16 -79.6945
27481.7 359.668 45.0999 5836.16 -79.6945
27517.6 358.675 45.1999 5836.16 -79.6945
27553.3 357.681 45.2999 5836.16 -79.6945
27588.9 356.688 45.3999 5836.16 -79.6945
27624.4 355.695 45.4999 5836.16 -79.6945
27659.8 354.702 45.5999 5836.16 -79.6945
27695.2 353.709 45.6999 5836.16 -79.6945
27730.4 352.717 45.7999 5836.16 -79.6945
27765.5 351.724 45.8999 5836.16 -79.6945
27800.5 350.732 45.9999 5836.16 -79.6945
27835.5 349.74 46.0999 5836.16 -79.6945
27870.3 348.747 46.1999 5836.16 -79.6945
27905 347.755 46.2999 5836.16 -79.6945
27939.6 346.763 46.3999 5836.16 -79.6945
27974.2 345.772 46.4999 5836.16 -79.6945
28008.6 344.78 46.5999 5836.16 -79.6945
28042.9 343.788 46.6999 5836.16 -79.6945
28077.2 342.797 46.7999 5836.16 -79.6945
28111.3 341.805 46.8999 5836.16 -79.6945
28145.3 340.814 46.9999 5836.16 -79.6945
28179.3 339.823 47.0999 5836.16 -79.6945
28213.1 338.832 47.1999 5836.16 -79.6945
28246.8 337.841 47.2999 5836.16 -79.6945
28280.5 336.85 47.3998 5836.16 -79.6945
28314 335.859 47.4998 5836.16 -79.6945
28347.4 334.868 47.5998 5836.16 -79.6945
28380.8 333.878 47.6998 5836.16 -79.6945
28414 332.887 47.7998 5836.16 -79.6945
28447.2 331.897 47.8998 5836.16 -79.6945
28480.2 330.907 47.9998 5836.16 -79.6945
28513.1 329.917 48.0998 5836.16 -79.6945
28546 328.926 48.1998 5836.16 -79.6945
28578.7 327.936 48.2998 5836.16 -79.6945
28611.4 326.947 48.3998 5836.16 -79.6945
28643.9 325.957 48.4998 5836.16 -79.6945
28676.4 324.967 48.5998 5836.16 -79.6945
28708.7 323.977 48.6998 5836.16 -79.6945
28741 322.988 48.7998 5836.16 -79.6945
28773.1 321.998 48.8998 5836.16 -79.6945
28805.2 321.009 48.9998 5836.16 -79.6945
28837.1 320.02 49.0998 5836.16 -79.6945
28869 319.03 49.1998 5836.16 -79.6945
28900.7 318.041 49.2998 5836.16 -79.6945
28932.4 317.052 49.3998 5836.16 -79.6945
28964 316.063 49.4998 5836.16 -79.6945
28995.4 315.074 49.5998 5836.16 -79.6945
29026.8 314.086 49.6998 5836.16 -79.6945
29058 313.097 49.7998 5836.16 -79.6945
29089.2 312.108 49.8998 5836.16 -79.6945
29120.3 311.12 49.9998 5836.16 -79.6945
29151.2 310.131 50.0998 5836.16 -79.6945
29182.1 309.143 50.1998 5836.16 -79.6945
29212.9 308.155 50.2998 5836.16 -79.6945
29243.5 307.166 50.3998 5836.16 -79.6945
29274.1 306.178 50.4998 5836.16 -79.6945
29304.6 305.19 50.5998 5836.16 -79.6945
29334.9 304.202 50.6998 5836.16 -79.6945
29365.2 303.214 50.7998 5836.16 -79.6945
29395.4 302.226 50.8998 5836.16 -79.6945
29425.5 301.238 50.9998 5836.16 -79.6945
29455.4 300.251 51.0998 5836.16 -79.6945
29485.3 299.263 51.1998 5836.16 -79.6945
29515.1 298.275 51.2998 5836.16 -79.6945
29544.8 297.288 51.3998 5836.16 -79.6945
29574.3 296.301 51.4998 5836.16 -79.6945
29603.8 295.313 51.5998 5836.16 -79.6945
29633.2 294.326 51.6998 5836.16 -79.6945
29662.5 293.339 51.7998 5836.16 -79.6945
29691.7 292.351 51.8998 5836.16 -79.6945
29720.8 291.364 51.9998 5836.16 -79.6945
29749.8 290.377 52.0998 5836.16 -79.6945
29778.7 289.39 52.1998 5836.16 -79.6945
29807.4 288.403 52.2998 5836.16 -79.6945
29836.1 287.416 52.3998 5836.16 -79.6945
29864.7 286.43 52.4998 5836.16 -79.6945
29893.2 285.443 52.5998 5836.16 -79.6945
29921.6 284.456 52.6998 5836.16 -79.6945
29949.9 283.469 52.7998 5836.16 -79.6945
29978.1 282.483 52.8998 5836.16 -79.6945
30006.2 281.496 52.9998 5836.16 -79.6945
30034.2 280.51 53.0998 5836.16 -79.6945
30062.1 279.524 53.1998 5836.16 -79.6945
30089.9 278.537 53.2998 5836.16 -79.6945
30117.6 277.551 53.3998 5836.16 -79.6945
30145.2 276.565 53.4998 5836.16 -79.6945
30172.8 275.579 53.5998 5836.16 -79.6945
30200.2 274.592 53.6998 5836.16 -79.6945
30227.5 273.606 53.7998 5836.16 -79.6945
30254.7 272.62 53.8997 5836.16 -79.6945
30281.8 271.635 53.9997 5836.16 -79.6945
30308.8 270.649 54.0997 5836.16 -79.6945
30335.7 269.663 54.1997 5836.16 -79.6945
30362.6 268.677 54.2997 5836.16 -79.6945
30389.3 267.691 54.3997 5836.16 -79.6945
30415.9 266.706 54.4997 5836.16 -79.6945
30442.4 265.72 54.5997 5836.16 -79.6945
30468.8 264.734 54.6997 5836.16 -79.6945
30495.2 263.749 54.7997 5836.16 -79.6945
30521.4 262.763 54.8997 5836.16 -79.6945
30547.5 261.778 54.9997 5836.16 -79.6945
30573.6 260.793 55.0997 5836.16 -79.6945
30599.5 259.807 55.1997 5836.16 -79.6945
30625.3 258.822 55.2997 5836.16 -79.6945
30651.1 257.837 55.3997 5836.16 -79.6945
30676.7 256.851 55.4997 5836.16 -79.6945
30702.2 255.866 55.5997 5836.16 -79.6945
30727.7 254.881 55.6997 5836.16 -79.6945
30753 253.896 55.7997 5836.16 -79.6945
30778.3 252.911 55.8997 5836.16 -79.6945
30803.4 251.926 55.9997 5836.16 -79.6945
30828.4 250.941 56.0997 5836.16 -79.6945
30853.4 249.956 56.1997 5836.16 -79.6945
30878.2 248.972 56.2997 5836.16 -79.6945
30903 247.987 56.3997 5836.16 -79.6945
30927.6 247.002 56.4997 5836.16 -79.6945
30952.2 246.017 56.5997 5836.16 -79.6945
30976.7 245.033 56.6997 5836.16 -79.6945
31001 244.048 56.7997 5836.16 -79.6945
31025.3 243.063 56.8997 5836.16 -79.6945
31049.4 242.079 56.9997 5836.16 -79.6945
31073.5 241.094 57.0997 5836.16 -79.6945
31097.4 240.11 57.1997 5836.16 -79.6945
31121.3 239.125 57.2997 5836.16 -79.6945
31145.1 238.141 57.3997 5836.16 -79.6945
31168.7 237.157 57.4997 5836.16 -79.6945
